Entity,Code,cases per million,is female leader
Afghanistan,AFG,23.32490871,
Albania,ALB,190.42324,
Algeria,DZA,57.80934333,
Andorra,AND,9111.499385,
Angola,AGO,0.730231981,
Anguilla,AIA,199.9733369,
Antigua and Barbuda,ATG,234.8664325,
Argentina,ARG,62.57221775,1
Armenia,ARM,435.6726468,
Aruba,ABW,899.1626548,
Australia,AUS,258.2757151,
Austria,AUT,1627.953455,
Azerbaijan,AZE,135.4153568,
Bahamas,BHS,147.4896249,
Bahrain,BHR,1041.970918,
Bangladesh,BGD,13.01844698,1
Barbados,BRB,260.9866688,1
Belarus,BLR,505.7506248,
Belgium,BEL,3208.303019,1
Belize,BLZ,45.2692388,
Benin,BEN,3.051999976,
Bermuda,BMU,1381.01585,
Bhutan,BTN,6.479940696,
Bolivia,BOL,44.54713511,
Bonaire Sint Eustatius and Saba,BES,152.5494832,
Bosnia and Herzegovina,BIH,382.2221003,
Botswana,BWA,6.378568011,
Brazil,BRA,172.1824509,
British Virgin Islands,VGB,99.21619208,
Brunei,BRN,313.1550255,
Bulgaria,BGR,126.359207,
Burkina Faso,BFA,27.0292535,
Burundi,BDI,0.504592592,
Cambodia,KHM,7.297099804,
Cameroon,CMR,38.27338225,
Canada,CAN,883.3888323,
Cape Verde,CPV,104.3187982,
Cayman Islands,CYM,928.1801582,
Central African Republic,CAF,2.48459345,
Chad,TCD,2.009027351,
Chile,CHL,508.9921333,
China,CHN,58.22386979,
Colombia,COL,71.16341912,
Congo,COG,25.91475459,
Costa Rica,CRI,128.5797687,
Cote d'Ivoire,CIV,30.36589769,
Croatia,HRV,446.2558839,
Cuba,CUB,87.05159599,
Curacao,CUW,85.31383303,
Cyprus,CYP,630.3002996,
Czech Republic,CZE,621.3475753,
Democratic Republic of Congo,COD,3.651126327,
Denmark,DNK,1250.301483,1
Djibouti,DJI,740.8891885,
Dominica,DMA,222.2500035,
Dominican Republic,DOM,399.6163683,
Ecuador,ECU,511.3625414,
Egypt,EGY,29.6283548,
El Salvador,SLV,29.29295592,
Equatorial Guinea,GNQ,56.30851363,
Eritrea,ERI,9.869087958,
Estonia,EST,1139.808178,1
